Designator,Val,Mid X,Mid Y,Rotation,Layer
W58,TestPoint_2Pole,80.645000,-38.735000,270.000000,top
W59,TestPoint_2Pole,76.200000,-44.450000,270.000000,top
W60,TestPoint_2Pole,72.390000,-38.735000,270.000000,top
W61,TestPoint_2Pole,68.580000,-44.450000,270.000000,top
W62,TestPoint_2Pole,64.770000,-38.735000,270.000000,top
W63,TestPoint_2Pole,60.960000,-44.450000,270.000000,top
W64,TestPoint_2Pole,57.150000,-38.735000,270.000000,top
W65,TestPoint_2Pole,53.340000,-44.450000,270.000000,top
W66,TestPoint_2Pole,49.530000,-38.735000,270.000000,top
W67,TestPoint_2Pole,45.720000,-44.450000,270.000000,top
W68,TestPoint_2Pole,39.370000,-38.735000,270.000000,top
